site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
CA-Qfo,ENF,49.6925,-74.34206,70,0.74413397,0.508354166,0.684558052,0.180544304,0.61805002,0.631599427,0.2215,0.1191,-0.0019,0.372382787,0.489659602,0.868114792,1084.000824
CA-SF1,ENF,54.48503,-105.81757,43,0.867583667,0.389492449,0.755887753,0.201738231,0.89681969,0.943252677,0.0908,0.1168,0.0052,0.357017158,0.478992521,1.111812709,594.2902001
CA-SF2,ENF,54.25392,-105.8775,56,0.859546867,0.383663915,0.855965223,0.205361247,0.954565799,1.038630951,0.1263,0.0206,0.026,0.4170768,0.463660295,1.296489853,564.7785388
CA-SF3,OSH,54.09156,-106.00526,50,0.908310798,0.549409458,0.826884974,0.210418489,0.82041448,0.895128582,0.0849,0.0098,0.0231,0.373620369,0.406512949,1.589833166,561.9880388
CA-TP1,ENF,42.66093611,-80.55951944,128,0.415576958,1.152964198,0.9186486,0.183369394,0.542044061,0.566239995,0.5447,0.036,0.013,0.359762794,0.408741489,9.189679984,1116.250829
CA-TP2,ENF,42.77441944,-80.458775,59,0.653850095,0.441980105,0.759639646,0.160814558,0.64263298,0.674776563,0.2786,0.0232,0.0401,0.354172442,0.417660105,9.051295062,1056.877113
CA-TP3,ENF,42.70681111,-80.34831389,137,0.775222018,0.55378002,0.785387066,0.194369586,0.592064635,0.616013262,0.1894,0.01,0.007,0.353688626,0.370713052,9.344143953,1120.794619
CA-TP4,ENF,42.710161,-80.357376,141,0.844861008,0.445403634,0.82764104,0.222915428,0.552550071,0.597040921,0.1527,0.0299,0.0228,0.365395964,0.418033754,9.257140697,1122.115833
CG-Tch,SAV,-4.28917,11.65642,13,0.389383862,0.474810639,0.776434478,0.179077223,0.0173186,0.187431032,0.2672,-0.0369,0.6277,0.238537118,0.829148472,24.67770096,1504.552801
CH-Cha,GRA,47.21022,8.41044,116,0.702655774,0.364501395,0.569908848,0.086103091,0.487277405,0.462312962,0.2595,0.0586,0.0048,0.396893991,0.460364619,9.412850741,1560.251731
CH-Dav,ENF,46.81533,9.85591,157,0.716525204,0.400304244,0.696539928,0.163483037,0.577521698,0.576501526,0.1274,0.075,0.0021,0.370731148,0.447856979,-1.323838734,1489.63429
CH-Fru,GRA,47.11583,8.53778,114,0.758610057,0.318884071,0.719013939,0.175812334,0.455762362,0.481252149,0.2016,0.0418,-4.00E-04,0.344063126,0.385521042,9.13291934,1897.42216
CH-Lae,MF,47.47833,8.36439,126,0.876356261,0.390743085,0.671669105,0.148528166,0.482325155,0.535876582,0.1205,-0.0011,0.0251,0.335758954,0.359863559,9.670296635,1128.97302
CH-Oe1,GRA,47.28583,7.73194,79,0.643405406,0.388599202,0.676606932,0.118016983,0.482785733,0.473071108,0.2896,0.0238,0.0088,0.316582207,0.349099099,9.183074034,1482.426989
CH-Oe2,CRO,47.28642,7.73375,126,0.454175864,0.621783274,1.057026363,0.127111831,0.491339679,0.466138931,0.431,0.0689,0.1226,0.064499121,0.255887522,9.183074034,1482.426989
CN-Cng,GRA,44.5934,123.5092,44,0.912349021,0.558253865,1.179529174,0.227997905,0.822219018,0.894098585,0.1205,0.0065,0.0224,0.333257533,0.362137578,6.481047814,489.5343823
CZ-BK1,ENF,49.50208,18.53688,120,0.74916601,0.343911666,0.674447513,0.166087253,0.526612138,0.567283023,0.1244,0.0572,0.0033,0.354728186,0.415258109,6.694846944,1088.945175
CZ-BK2,GRA,49.49443,18.54285,70,0.761708644,0.355198078,0.897211861,0.183993452,0.488094658,0.551806756,0.2501,0.1274,0.0053,0.371782904,0.504467262,6.694846944,1088.945175
CZ-wet,WET,49.02465,14.77035,100,0.878000185,0.3802319,1.020115043,0.186415238,0.509090839,0.565265316,0.1745,0.0323,0.0443,0.3233192,0.4,8.836121723,735.6416499
DE-Geb,CRO,51.09973,10.91463,134,0.732128948,0.41053306,1.18210573,0.273895977,0.43716376,0.569244547,0.3248,0.0029,0.0298,0.293838863,0.326569905,9.252496342,676.9221403
DE-Gri,GRA,50.95004,13.51259,128,0.79035918,0.297128476,0.799028384,0.250617742,0.486113479,0.586950684,0.1568,0.0272,-0.0014,0.403818786,0.42955408,8.369029428,925.1184821
DE-Hai,DBF,51.07921,10.45217,117,0.836945013,0.239017916,0.881814528,0.317173836,0.386278495,0.562502195,0.1679,0.0443,0.0082,0.383848095,0.436365821,8.953195212,726.2576923
DE-Kli,CRO,50.89306,13.52238,126,0.527570255,0.496960765,1.135664337,0.268814972,0.481598252,0.587523943,0.4124,0.1123,0.1431,0.165078285,0.420524166,8.369029428,925.1184821
DE-Lkb,ENF,49.09962,13.30467,45,0.810110244,0.553256163,0.777045151,0.164321762,0.385068596,0.375446953,0.254,0.057,0.1202,0.317024129,0.494369973,6.249454709,1287.954319
DE-Lnf,DBF,51.32822,10.3678,83,0.817300204,0.264155042,0.909149029,0.239512385,0.435693673,0.550921918,0.2015,0.0321,0.0122,0.418033813,0.462241703,8.330598388,740.89091
