"","year","month","site","lat","lon","type","T1","T1_noise","T2","T2_noise","T3","T3_noise","T4","T4_noise","W1","W1_noise","W2","W2_noise","W3","W3_noise","W4","W4_noise"
"1",2010,1,"AR-Vir",-28.2395,-56.1886,"ENF",0.994143401506553,0.986772675184799,0.801322605108649,0.821104145502017,1,1,0.872014227149821,0.862139483567979,1.02323510934638,1.02323510934638,0.838075949367089,0.834811139240506,0.569070373588184,0.56662860306585,0.961244015473654,0.960978497931275
"2",2010,2,"AR-Vir",-28.2395,-56.1886,"ENF",1.01027172410518,1.01685146762705,0.752813815793451,0.730846191205115,1,1,0.848323838735822,0.858937890453853,1.20807037576144,1.20807037576144,0.81346835443038,0.816979240506329,0.551168360411677,0.553653331738153,0.998687364292467,0.992468913653355
"3",2010,3,"AR-Vir",-28.2395,-56.1886,"ENF",0.95358415454625,0.945116897058617,0.89364100910821,0.908258179724121,1,1,0.916425336317997,0.908852649329358,1.05945393395761,1.05820809961171,0.86346835443038,0.86045746835443,0.588804757459461,0.586393535140399,1,1
"4",2010,4,"AR-Vir",-28.2395,-56.1886,"ENF",0.749910645566793,0.738892789120116,0.987095617938153,0.98300435203219,1,1,0.997189823711254,0.995989466016757,1.08048089461524,1.07876169251444,0.92873417721519,0.926375949367089,0.646422471057127,0.644144919368413,0.998098788837593,0.998085763625576
"5",2010,5,"AR-Vir",-28.2395,-56.1886,"ENF",0.523160530195749,0.513486760639629,0.840419940453254,0.832385638534169,1,1,0.979089315182494,0.976635932748798,1.18738322814203,1.18738322814203,0,0,0.752009184845006,0.753878734864877,0.971326337388565,0.965465950553766
"6",2010,6,"AR-Vir",-28.2395,-56.1886,"ENF",0.478047088656758,0.469024435034059,0.802225195263621,0.794373213860315,1,1,0.966389924818417,0.969206080483983,1.85371527029938,1.85371527029938,0,0,0.772545817455997,0.77079261740896,0.980883904049646,0.980752939532071
"7",2010,7,"AR-Vir",-28.2395,-56.1886,"ENF",0.378758850265846,0.386085030329277,0.712123230006533,0.719053826359671,1,1,0.925529450461669,0.921705798902093,1.38786094449978,1.38786094449978,0,0,0.755210643015521,0.757063854757544,0.973078095403664,0.967194783949064
"8",2010,8,"AR-Vir",-28.2395,-56.1886,"ENF",0.505233283415433,0.514698609266804,0.825461686262781,0.833396961787678,1,1,0.974428642301968,0.971776266332528,1.65366279884487,1.65366279884487,0.974911392405063,0.976807848101266,0.694506749316912,0.696634921985479,0.964096671956753,0.958330897123086
"9",2010,9,"AR-Vir",-28.2395,-56.1886,"ENF",0.679399162536612,0.668406782545137,0.953532396349033,0.946978079410859,1,1,0.999878455878503,0.999572917581676,1.11956055928716,1.12227125380791,0.996987341772152,0.998663037974684,0.720115015434056,0.722136166131178,0.892042313202921,0.887219487546684
"10",2010,10,"AR-Vir",-28.2395,-56.1886,"ENF",0.69477099777893,0.683739577300207,0.962181849371183,0.956037973869285,1,1,0.999993311060681,0.999846865988176,0.928286098872749,0.929606211505208,0.991164556962025,0.989430632911392,0.713178943841869,0.711139246743605,0.88390974348908,0.883114408265898
