year,month,site,lat,lon,type,T1 × W1,T1 × W2,T1 × W3,T1 × W4,T2 × W1,T2 × W2,T2 × W3,T2 × W4,T3 × W1,T3 × W2,T3 × W3,T3 × W4,T4 × W1,T4 × W2,T4 × W3,T4 × W4
2011,11,AR-Vir,-28.2395,-56.1886,ENF,1.620883231,0.634441139,0.604610674,0.991919177,0.568849487,1.534035667,1.563223344,1.184260587,0.568900051,0.407330356,0.436852014,0.053552944,0.057213325,1.027365998,1.056703864,0.675791104
2011,12,AR-Vir,-28.2395,-56.1886,ENF,0.80438528,1.557406897,1.621796025,1.274943758,0.887283457,0.121419911,0.055932699,0.408700138,0.422713123,0.33962374,0.404809394,0.053666394,0.018388333,0.777376672,0.842276001,0.492675378
2012,1,AR-Vir,-28.2395,-56.1886,ENF,1.397735761,0.293222938,0.299904206,0.779166677,1.006579388,2.138024625,2.131180441,1.640231646,0.639404145,0.47360328,0.466870628,0.016077761,0.152539158,1.274417693,1.267631379,0.7808337
2012,2,AR-Vir,-28.2395,-56.1886,ENF,1.116973081,0.193774981,0.180350121,1.12859135,1.933353248,2.828701864,2.841721745,1.922085459,0.482686836,0.43472023,0.448060878,0.494232226,0.597328816,1.504875337,1.518072596,0.585907519
2012,3,AR-Vir,-28.2395,-56.1886,ENF,0.945166117,1.344023821,1.384596058,0.905376127,0.719827525,0.327548595,0.287645558,0.758961217,0,0.395123135,0.435315487,0.03941743,0.461035336,0.857980128,0.898357781,0.421436178
2012,4,AR-Vir,-28.2395,-56.1886,ENF,1.447132918,1.63786638,1.746399367,0.945941225,0.674534704,0.866763408,0.976147232,0.169413955,0,0.193534158,0.303660825,0.508551103,0.004795363,0.188748076,0.298880024,0.513370853
2012,5,AR-Vir,-28.2395,-56.1886,ENF,1.43009748,1.234211183,1.124278917,1.473326619,0.647094525,0.449652179,0.338846652,0.69066706,0,0.198728306,0.310255519,0.043856327,0.008953784,0.189756728,0.301273955,0.052806184
2012,6,AR-Vir,-28.2395,-56.1886,ENF,1.70859001,NA,1.449534052,1.727370112,0.959344063,NA,0.6983134,0.978267321,1.84E-14,NA,0.263559102,0.019106555,0.256459816,NA,0.006423363,0.27551737
2012,7,AR-Vir,-28.2395,-56.1886,ENF,53.75717019,NA,2.08428581,1.834100687,52.46701094,NA,1.227707963,0.979622115,51.01041702,NA,0.260628838,0.014913079,50.35742957,NA,0.172910343,0.417563597
2012,8,AR-Vir,-28.2395,-56.1886,ENF,82.16091003,1.588867802,1.690073144,1.356597285,80.57517532,0.704523332,0.804847667,0.47427476,79.77376453,0.257586527,0.357465614,0.028359822,79.88714595,0.32081793,0.420760008,0.091446653
2012,9,AR-Vir,-28.2395,-56.1886,ENF,1.314772159,1.597173743,1.691629152,1.379122425,0.418437567,0.698340737,0.791960496,0.482218525,5.75E-14,0.27873683,0.371966481,0.063515187,0.07436948,0.353313605,0.44661259,0.137931902
2012,10,AR-Vir,-28.2395,-56.1886,ENF,239.8190303,1.284853251,1.37954362,0.605441975,244.7546345,0.148906628,0.052840956,0.838185819,243.3364138,0.263076965,0.358747451,0.423366731,241.8847043,0.684788829,0.780054797,0.001247584
2012,11,AR-Vir,-28.2395,-56.1886,ENF,309.5257759,0.430927602,0.388473762,1.245861794,300.8920399,1.686385067,1.727943884,0.888631544,306.1993601,0.384833067,0.426942072,0.423481737,303.4376802,1.06209952,1.103922233,0.259280309
2012,12,AR-Vir,-28.2395,-56.1886,ENF,690.4233488,1.013592966,1.085682528,0.188049076,712.5894815,1.762319253,1.688208057,2.611014174,695.9337592,0.323512487,0.396104619,0.507786655,688.0660002,1.308808777,1.380683339,0.485726978
2002,2,AT-Neu,47.11667,11.3175,GRA,2.536306241,NA,0.322368137,0.516494463,2.637753663,NA,0.223749032,0.615943522,3.103993045,NA,0.229491768,1.072998686,3.77145001,NA,0.878340279,1.727307748
2002,3,AT-Neu,47.11667,11.3175,GRA,0.081288973,NA,0.619639067,0.19675397,0.10071389,NA,0.438616814,0.379263291,0.598108776,NA,0.056098168,0.878042274,1.338338875,NA,0.792339995,1.620332204
2002,4,AT-Neu,47.11667,11.3175,GRA,0.668570835,NA,0.487382451,0.554061286,0.481742661,NA,0.300213488,0.367017736,0.19861427,NA,0.016568649,0.083562955,0.910476116,NA,0.729728987,0.796245437
2002,5,AT-Neu,47.11667,11.3175,GRA,0.807068071,NA,0.397912201,0.488144413,1.033177622,NA,0.624954419,0.714980948,0.608480201,NA,0.198505186,0.288918046,0.921729187,NA,0.513046277,0.603174186
2002,6,AT-Neu,47.11667,11.3175,GRA,0.701327377,0.212357552,0.070963616,1.054196132,1.239210744,0.747629148,0.605479975,1.593964302,0.880028799,0.390191263,0.248546414,1.233523743,0.900580709,0.41064338,0.268969674,1.254147669
2002,7,AT-Neu,47.11667,11.3175,GRA,0.473694126,NA,0.182784006,0.271784377,1.007432599,NA,0.718082569,0.80660565,0.053026957,NA,0.239112751,0.149736202,0.669472373,NA,0.379134503,0.467959802
2002,8,AT-Neu,47.11667,11.3175,GRA,0.435821457,NA,0.204094118,1.054726624,0.967378663,NA,0.734424906,1.589559389,0,NA,0.230721804,0.61621955,0.627909722,NA,0.395739194,1.247998575
2002,9,AT-Neu,47.11667,11.3175,GRA,0.703624298,NA,0.5508951,1.321583415,0.816049018,NA,0.663149314,1.43469802,0.460683247,NA,0.308322498,1.077151577,0.806246752,NA,0.653361914,1.424835603
2002,10,AT-Neu,47.11667,11.3175,GRA,0.728926168,NA,0.866707361,0.157333626,0.604701643,NA,0.74265525,0.032393829,0.283014231,NA,0.421414318,0.291145825,0.876458136,NA,0.736448784,1.457294314
2002,11,AT-Neu,47.11667,11.3175,GRA,6.924490445,NA,0.70364861,0.847698774,7.108744989,NA,0.504293216,0.648058216,7.30279579,NA,0.294338699,0.437803372,8.347156679,NA,0.835614309,0.693765962
2002,12,AT-Neu,47.11667,11.3175,GRA,2.322126253,NA,0.008530077,0.040638733,2.303466424,NA,0.010571728,0.021543062,2.025666802,NA,0.294951306,0.262745198,3.256471195,NA,0.965005895,0.996807413
2003,7,AT-Neu,47.11667,11.3175,GRA,0.420006649,0.719189643,0.855247407,0.025350174,0.813868228,1.111867886,1.24738751,0.420772709,0.40834081,0.707558854,0.843632557,0.0136381,0.779802534,0.477014774,0.339317692,1.179214106
2003,8,AT-Neu,47.11667,11.3175,GRA,0.453804411,0.233217788,0.093309394,0.172753373,0.827092626,0.60733318,0.467949429,0.547095501,0.595021045,0.374747347,0.235037428,0.314368707,0.546207781,0.325825917,0.186047392,0.265417628
2003,9,AT-Neu,47.11667,11.3175,GRA,0.852033004,NA,1.061849668,1.086461796,0.838592588,NA,1.04838129,1.072990139,0.417934881,NA,0.62684843,0.65135462,0.800906449,NA,0.594528627,0.570319885
2003,10,AT-Neu,47.11667,11.3175,GRA,0.122310132,NA,0.712019994,0.010150122,0.136602542,NA,0.454636023,0.249053304,0.4666201,NA,0.126566995,0.579441463,1.43480378,NA,0.83590022,1.548712388
2003,11,AT-Neu,47.11667,11.3175,GRA,0.533767575,NA,0.429590572,1.046434725,0.298829127,NA,0.194895576,0.810298219,0.026452537,NA,0.130049018,0.483357797,0.948695502,NA,0.844088535,1.463478557
2003,12,AT-Neu,47.11667,11.3175,GRA,0.249070073,NA,0.326381644,0.232178267,0.120984537,NA,0.19839538,0.360881752,1.427463618,NA,1.50386188,0.951900437,1.017221865,NA,0.93892886,1.504579431
2003,1,AT-Neu,47.11667,11.3175,GRA,0.626249161,NA,0.694488583,0.626249161,0.296403651,NA,0.36441939,0.296403651,1.379416131,NA,1.448166312,1.379416131,1.038485613,NA,0.971375126,1.038485613
2003,2,AT-Neu,47.11667,11.3175,GRA,0.994294652,NA,1.061243247,0.287105368,0.466814778,NA,0.534120059,0.24414225,NA,NA,NA,NA,1.058077979,NA,0.98974155,1.779927185
2003,3,AT-Neu,47.11667,11.3175,GRA,0.530274041,NA,0.706946273,0.041454085,0.296913508,NA,0.474000221,0.193053241,0.275835016,NA,0.097731021,0.7686164,0.948916436,NA,0.769616953,1.445005516
2003,4,AT-Neu,47.11667,11.3175,GRA,0.769812233,NA,0.562072655,1.344892646,0.492922698,NA,0.285753935,1.066422939,0.047628496,NA,0.158622282,0.618587499,0.906371774,NA,0.698350675,1.482231515
2003,5,AT-Neu,47.11667,11.3175,GRA,0.78293599,NA,0.51653745,1.39241011,0.92492675,NA,0.658152887,1.535259544,0.449882157,NA,0.184363975,1.05734217,0.749577759,NA,0.483267395,1.358850149
2003,6,AT-Neu,47.11667,11.3175,GRA,0.644291248,0.303901715,0.161705121,0.343189986,1.038791474,0.699753486,0.558121496,0.738885759,0.756863117,0.416859252,0.274823769,0.456103008,0.730323565,0.390228776,0.24815531,0.429483027
2004,10,AT-Neu,47.11667,11.3175,GRA,0.65784966,NA,0.796006841,0.069182489,0.732374284,NA,0.870633754,0.143271278,0.393516619,NA,0.531310993,0.193604679,0.841367897,NA,0.705268455,1.421267344
2004,12,AT-Neu,47.11667,11.3175,GRA,1.821831509,NA,0.676318112,0.675327001,2.148045842,NA,0.358107291,0.357113004,1.852015544,NA,4.260029097,4.259073746,3.536708755,NA,0.996485446,0.997493249
2004,11,AT-Neu,47.11667,11.3175,GRA,88.78902303,NA,0.103203748,0.03526728,88.65441291,NA,0.031828281,0.036059747,87.93070815,NA,0.351907829,0.419535429,90.33329678,NA,0.922037106,0.853544925
2004,8,AT-Neu,47.11667,11.3175,GRA,0.394197942,NA,0.653566835,0.597408183,0.976871364,NA,1.234723003,1.178892868,0.575917954,NA,0.834813657,0.77875746,0.635472897,NA,0.373422789,0.430161978
2004,9,AT-Neu,47.11667,11.3175,GRA,0.357146805,NA,0.752379946,0.023746157,0.66239273,NA,1.05882801,0.280341244,0.248942576,NA,0.64374958,0.131539711,0.998025333,NA,0.608129221,1.37377491
2004,6,AT-Neu,47.11667,11.3175,GRA,0.524751998,NA,0.298887182,1.095753478,0.944496953,NA,0.719585195,1.513089039,0.495983619,NA,0.270053484,1.067150234,0.737160326,NA,0.511777797,1.306942553
2004,7,AT-Neu,47.11667,11.3175,GRA,0.436913684,NA,0.672496721,0.597308228,0.984109447,NA,1.218397727,1.143622468,0.558538192,NA,0.793833445,0.718736801,0.669313668,NA,0.43111311,0.507137009
2004,1,AT-Neu,47.11667,11.3175,GRA,2.53162795,NA,0.711980622,0.74293365,2.146496047,NA,0.333683724,0.364520485,18.29427652,NA,16.19488662,16.23059819,2.841082645,NA,1.015943368,1.046989816
2004,2,AT-Neu,47.11667,11.3175,GRA,0.261254086,NA,0.339996861,0.28352864,0.135400164,NA,0.214242299,0.157702825,2.66928947,NA,2.746131124,2.69102624,1.019160248,NA,0.939406599,0.996599741
2004,3,AT-Neu,47.11667,11.3175,GRA,5.687954429,NA,0.074079539,0.939744905,5.603820085,NA,0.015062858,0.851374755,4.683703949,NA,0.989948422,0.115065307,6.415633326,NA,0.845073139,1.704059332
2004,5,AT-Neu,47.11667,11.3175,GRA,0.376929085,NA,0.866083112,0.879353609,0.408930865,NA,0.897927762,0.911193996,0.027519106,NA,0.518388753,0.531705794,1.14221281,NA,0.645599724,0.632126867
